index,cell,cell_ontology_class,mouse.id
O10_B001183_S286_L003.mus-1-0-1,O10_B001183,"CD8-positive, alpha-beta T cell",24_59_M
O11_B001183_S287_L003.mus-1-0-1,O11_B001183,B cell,24_59_M
O12_B001183_S288_L003.mus-1-0-1,O12_B001183,"CD8-positive, alpha-beta T cell",24_59_M
O13_B001183_S289_L003.mus-1-0-1,O13_B001183,"CD4-positive, alpha-beta T cell",24_59_M
O14_B001183_S290_L003.mus-1-0-1,O14_B001183,macrophage,24_59_M
O15_B001183_S291_L003.mus-1-0-1,O15_B001183,"CD8-positive, alpha-beta T cell",24_59_M
O16_B001183_S292_L003.mus-1-0-1,O16_B001183,myeloid cell,24_59_M
O20_B001183_S296_L003.mus-1-0-1,O20_B001183,endothelial cell,24_59_M
O2_B001183_S278_L003.mus-1-0-1,O2_B001183,mesenchymal stem cell of adipose,24_59_M
O3_B001183_S279_L003.mus-1-0-1,O3_B001183,mesenchymal stem cell of adipose,24_59_M
O4_B001183_S280_L003.mus-1-0-1,O4_B001183,mesenchymal stem cell of adipose,24_59_M
O5_B001183_S281_L003.mus-1-0-1,O5_B001183,mesenchymal stem cell of adipose,24_59_M
O6_B001183_S282_L003.mus-1-0-1,O6_B001183,mesenchymal stem cell of adipose,24_59_M
O7_B001183_S283_L003.mus-1-0-1,O7_B001183,mesenchymal stem cell of adipose,24_59_M
O8_B001183_S284_L003.mus-1-0-1,O8_B001183,mesenchymal stem cell of adipose,24_59_M
O9_B001183_S285_L003.mus-1-0-1,O9_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P10_B001183_S10_L003.mus-1-0-1,P10_B001183,myeloid cell,24_59_M
P11_B001183_S11_L003.mus-1-0-1,P11_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P12_B001183_S12_L003.mus-1-0-1,P12_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P13_B001183_S13_L003.mus-1-0-1,P13_B001183,B cell,24_59_M
P14_B001183_S14_L003.mus-1-0-1,P14_B001183,epithelial cell,24_59_M
P15_B001183_S15_L003.mus-1-0-1,P15_B001183,"CD8-positive, alpha-beta T cell",24_59_M
P16_B001183_S16_L003.mus-1-0-1,P16_B001183,"CD4-positive, alpha-beta T cell",24_59_M
P17_B001183_S17_L003.mus-1-0-1,P17_B001183,endothelial cell,24_59_M
P1_B001183_S1_L003.mus-1-0-1,P1_B001183,mesenchymal stem cell of adipose,24_59_M
P20_B001183_S20_L003.mus-1-0-1,P20_B001183,endothelial cell,24_59_M
P2_B001183_S2_L003.mus-1-0-1,P2_B001183,mesenchymal stem cell of adipose,24_59_M
P5_B001183_S5_L003.mus-1-0-1,P5_B001183,mesenchymal stem cell of adipose,24_59_M
P6_B001183_S6_L003.mus-1-0-1,P6_B001183,mesenchymal stem cell of adipose,24_59_M
P7_B001183_S7_L003.mus-1-0-1,P7_B001183,mesenchymal stem cell of adipose,24_59_M
P9_B001183_S9_L003.mus-1-0-1,P9_B001183,B cell,24_59_M
A10_B001190_S46.mus-7-0-1,A10_B001190,T cell,24_58_M
A11_B001190_S47.mus-7-0-1,A11_B001190,macrophage,24_58_M
A12_B001190_S48.mus-7-0-1,A12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
A15_B001190_S51.mus-7-0-1,A15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
A18_B001190_S54.mus-7-0-1,A18_B001190,epithelial cell,24_58_M
A1_B001190_S37.mus-7-0-1,A1_B001190,mesenchymal stem cell of adipose,24_58_M
A20_B001190_S56.mus-7-0-1,A20_B001190,endothelial cell,24_58_M
A21_B001190_S57.mus-7-0-1,A21_B001190,endothelial cell,24_58_M
A2_B001190_S38.mus-7-0-1,A2_B001190,mesenchymal stem cell of adipose,24_58_M
A5_B001190_S41.mus-7-0-1,A5_B001190,mesenchymal stem cell of adipose,24_58_M
A6_B001190_S42.mus-7-0-1,A6_B001190,mesenchymal stem cell of adipose,24_58_M
A7_B001190_S43.mus-7-0-1,A7_B001190,mesenchymal stem cell of adipose,24_58_M
A8_B001190_S44.mus-7-0-1,A8_B001190,mesenchymal stem cell of adipose,24_58_M
A9_B001190_S45.mus-7-0-1,A9_B001190,B cell,24_58_M
B10_B001190_S70.mus-7-0-1,B10_B001190,B cell,24_58_M
B11_B001190_S71.mus-7-0-1,B11_B001190,myeloid cell,24_58_M
B12_B001190_S72.mus-7-0-1,B12_B001190,myeloid cell,24_58_M
B13_B001190_S73.mus-7-0-1,B13_B001190,B cell,24_58_M
B15_B001190_S75.mus-7-0-1,B15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
B16_B001190_S76.mus-7-0-1,B16_B001190,macrophage,24_58_M
B18_B001190_S78.mus-7-0-1,B18_B001190,endothelial cell,24_58_M
B1_B001190_S61.mus-7-0-1,B1_B001190,mesenchymal stem cell of adipose,24_58_M
B22_B001190_S82.mus-7-0-1,B22_B001190,endothelial cell,24_58_M
B2_B001190_S62.mus-7-0-1,B2_B001190,mesenchymal stem cell of adipose,24_58_M
B3_B001190_S63.mus-7-0-1,B3_B001190,mesenchymal stem cell of adipose,24_58_M
B4_B001190_S64.mus-7-0-1,B4_B001190,mesenchymal stem cell of adipose,24_58_M
B5_B001190_S65.mus-7-0-1,B5_B001190,mesenchymal stem cell of adipose,24_58_M
B6_B001190_S66.mus-7-0-1,B6_B001190,mesenchymal stem cell of adipose,24_58_M
B9_B001190_S69.mus-7-0-1,B9_B001190,myeloid cell,24_58_M
C10_B001190_S94.mus-7-0-1,C10_B001190,"CD8-positive, alpha-beta T cell",24_58_M
C11_B001190_S95.mus-7-0-1,C11_B001190,myeloid cell,24_58_M
C12_B001190_S96.mus-7-0-1,C12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
C13_B001190_S97.mus-7-0-1,C13_B001190,B cell,24_58_M
C14_B001190_S98.mus-7-0-1,C14_B001190,"CD4-positive, alpha-beta T cell",24_58_M
C15_B001190_S99.mus-7-0-1,C15_B001190,B cell,24_58_M
C16_B001190_S100.mus-7-0-1,C16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
C19_B001190_S103.mus-7-0-1,C19_B001190,epithelial cell,24_58_M
C21_B001190_S105.mus-7-0-1,C21_B001190,endothelial cell,24_58_M
C22_B001190_S106.mus-7-0-1,C22_B001190,mesenchymal stem cell of adipose,24_58_M
C2_B001190_S86.mus-7-0-1,C2_B001190,mesenchymal stem cell of adipose,24_58_M
C4_B001190_S88.mus-7-0-1,C4_B001190,mesenchymal stem cell of adipose,24_58_M
C7_B001190_S91.mus-7-0-1,C7_B001190,mesenchymal stem cell of adipose,24_58_M
C9_B001190_S93.mus-7-0-1,C9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
D10_B001190_S118.mus-7-0-1,D10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
D11_B001190_S119.mus-7-0-1,D11_B001190,B cell,24_58_M
D12_B001190_S120.mus-7-0-1,D12_B001190,myeloid cell,24_58_M
D13_B001190_S121.mus-7-0-1,D13_B001190,B cell,24_58_M
D14_B001190_S122.mus-7-0-1,D14_B001190,B cell,24_58_M
D15_B001190_S123.mus-7-0-1,D15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
D16_B001190_S124.mus-7-0-1,D16_B001190,B cell,24_58_M
D17_B001190_S125.mus-7-0-1,D17_B001190,endothelial cell,24_58_M
D2_B001190_S110.mus-7-0-1,D2_B001190,mesenchymal stem cell of adipose,24_58_M
D3_B001190_S111.mus-7-0-1,D3_B001190,mesenchymal stem cell of adipose,24_58_M
D4_B001190_S112.mus-7-0-1,D4_B001190,mesenchymal stem cell of adipose,24_58_M
D6_B001190_S114.mus-7-0-1,D6_B001190,mesenchymal stem cell of adipose,24_58_M
D7_B001190_S115.mus-7-0-1,D7_B001190,mesenchymal stem cell of adipose,24_58_M
D9_B001190_S117.mus-7-0-1,D9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E10_B001190_S142.mus-7-0-1,E10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E11_B001190_S143.mus-7-0-1,E11_B001190,B cell,24_58_M
E12_B001190_S144.mus-7-0-1,E12_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E13_B001190_S145.mus-7-0-1,E13_B001190,"CD4-positive, alpha-beta T cell",24_58_M
E14_B001190_S146.mus-7-0-1,E14_B001190,"CD8-positive, alpha-beta T cell",24_58_M
E15_B001190_S147.mus-7-0-1,E15_B001190,macrophage,24_58_M
E16_B001190_S148.mus-7-0-1,E16_B001190,macrophage,24_58_M
E17_B001190_S149.mus-7-0-1,E17_B001190,mesenchymal stem cell of adipose,24_58_M
E19_B001190_S151.mus-7-0-1,E19_B001190,endothelial cell,24_58_M
E20_B001190_S152.mus-7-0-1,E20_B001190,epithelial cell,24_58_M
E21_B001190_S153.mus-7-0-1,E21_B001190,epithelial cell,24_58_M
E3_B001190_S135.mus-7-0-1,E3_B001190,mesenchymal stem cell of adipose,24_58_M
E4_B001190_S136.mus-7-0-1,E4_B001190,mesenchymal stem cell of adipose,24_58_M
E5_B001190_S137.mus-7-0-1,E5_B001190,mesenchymal stem cell of adipose,24_58_M
E6_B001190_S138.mus-7-0-1,E6_B001190,mesenchymal stem cell of adipose,24_58_M
E7_B001190_S139.mus-7-0-1,E7_B001190,mesenchymal stem cell of adipose,24_58_M
E8_B001190_S140.mus-7-0-1,E8_B001190,mesenchymal stem cell of adipose,24_58_M
E9_B001190_S141.mus-7-0-1,E9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
F10_B001190_S166.mus-7-0-1,F10_B001190,B cell,24_58_M
F11_B001190_S167.mus-7-0-1,F11_B001190,"CD8-positive, alpha-beta T cell",24_58_M
F12_B001190_S168.mus-7-0-1,F12_B001190,"CD4-positive, alpha-beta T cell",24_58_M
F13_B001190_S169.mus-7-0-1,F13_B001190,B cell,24_58_M
F15_B001190_S171.mus-7-0-1,F15_B001190,B cell,24_58_M
F16_B001190_S172.mus-7-0-1,F16_B001190,"CD4-positive, alpha-beta T cell",24_58_M
F17_B001190_S173.mus-7-0-1,F17_B001190,endothelial cell,24_58_M
F18_B001190_S174.mus-7-0-1,F18_B001190,endothelial cell,24_58_M
F21_B001190_S177.mus-7-0-1,F21_B001190,mesenchymal stem cell of adipose,24_58_M
F2_B001190_S158.mus-7-0-1,F2_B001190,mesenchymal stem cell of adipose,24_58_M
F3_B001190_S159.mus-7-0-1,F3_B001190,mesenchymal stem cell of adipose,24_58_M
F5_B001190_S161.mus-7-0-1,F5_B001190,mesenchymal stem cell of adipose,24_58_M
F6_B001190_S162.mus-7-0-1,F6_B001190,mesenchymal stem cell of adipose,24_58_M
F7_B001190_S163.mus-7-0-1,F7_B001190,mesenchymal stem cell of adipose,24_58_M
F9_B001190_S165.mus-7-0-1,F9_B001190,B cell,24_58_M
G10_B001190_S190.mus-7-0-1,G10_B001190,myeloid cell,24_58_M
G11_B001190_S191.mus-7-0-1,G11_B001190,"CD8-positive, alpha-beta T cell",24_58_M
G12_B001190_S192.mus-7-0-1,G12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
G13_B001190_S193.mus-7-0-1,G13_B001190,B cell,24_58_M
G14_B001190_S194.mus-7-0-1,G14_B001190,macrophage,24_58_M
G15_B001190_S195.mus-7-0-1,G15_B001190,myeloid cell,24_58_M
G16_B001190_S196.mus-7-0-1,G16_B001190,B cell,24_58_M
G19_B001190_S199.mus-7-0-1,G19_B001190,endothelial cell,24_58_M
G3_B001190_S183.mus-7-0-1,G3_B001190,mesenchymal stem cell of adipose,24_58_M
G5_B001190_S185.mus-7-0-1,G5_B001190,mesenchymal stem cell of adipose,24_58_M
G6_B001190_S186.mus-7-0-1,G6_B001190,mesenchymal stem cell of adipose,24_58_M
G8_B001190_S188.mus-7-0-1,G8_B001190,mesenchymal stem cell of adipose,24_58_M
G9_B001190_S189.mus-7-0-1,G9_B001190,B cell,24_58_M
H10_B001190_S214.mus-7-0-1,H10_B001190,B cell,24_58_M
H11_B001190_S215.mus-7-0-1,H11_B001190,macrophage,24_58_M
H12_B001190_S216.mus-7-0-1,H12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
H13_B001190_S217.mus-7-0-1,H13_B001190,B cell,24_58_M
H15_B001190_S219.mus-7-0-1,H15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
H16_B001190_S220.mus-7-0-1,H16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
H18_B001190_S222.mus-7-0-1,H18_B001190,epithelial cell,24_58_M
H19_B001190_S223.mus-7-0-1,H19_B001190,epithelial cell,24_58_M
H1_B001190_S205.mus-7-0-1,H1_B001190,mesenchymal stem cell of adipose,24_58_M
H20_B001190_S224.mus-7-0-1,H20_B001190,endothelial cell,24_58_M
H21_B001190_S225.mus-7-0-1,H21_B001190,endothelial cell,24_58_M
H22_B001190_S226.mus-7-0-1,H22_B001190,epithelial cell,24_58_M
H3_B001190_S207.mus-7-0-1,H3_B001190,mesenchymal stem cell of adipose,24_58_M
H4_B001190_S208.mus-7-0-1,H4_B001190,mesenchymal stem cell of adipose,24_58_M
H8_B001190_S212.mus-7-0-1,H8_B001190,mesenchymal stem cell of adipose,24_58_M
H9_B001190_S213.mus-7-0-1,H9_B001190,B cell,24_58_M
I10_B001190_S238.mus-7-0-1,I10_B001190,macrophage,24_58_M
I11_B001190_S239.mus-7-0-1,I11_B001190,"CD4-positive, alpha-beta T cell",24_58_M
I12_B001190_S240.mus-7-0-1,I12_B001190,T cell,24_58_M
I13_B001190_S241.mus-7-0-1,I13_B001190,"CD8-positive, alpha-beta T cell",24_58_M
I14_B001190_S242.mus-7-0-1,I14_B001190,T cell,24_58_M
I15_B001190_S243.mus-7-0-1,I15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
I16_B001190_S244.mus-7-0-1,I16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
I17_B001190_S245.mus-7-0-1,I17_B001190,endothelial cell,24_58_M
I18_B001190_S246.mus-7-0-1,I18_B001190,endothelial cell,24_58_M
I1_B001190_S229.mus-7-0-1,I1_B001190,mesenchymal stem cell of adipose,24_58_M
I20_B001190_S248.mus-7-0-1,I20_B001190,endothelial cell,24_58_M
I21_B001190_S249.mus-7-0-1,I21_B001190,endothelial cell,24_58_M
I2_B001190_S230.mus-7-0-1,I2_B001190,mesenchymal stem cell of adipose,24_58_M
I3_B001190_S231.mus-7-0-1,I3_B001190,mesenchymal stem cell of adipose,24_58_M
I4_B001190_S232.mus-7-0-1,I4_B001190,mesenchymal stem cell of adipose,24_58_M
I7_B001190_S235.mus-7-0-1,I7_B001190,mesenchymal stem cell of adipose,24_58_M
I8_B001190_S236.mus-7-0-1,I8_B001190,mesenchymal stem cell of adipose,24_58_M
I9_B001190_S237.mus-7-0-1,I9_B001190,myeloid cell,24_58_M
J10_B001190_S262.mus-7-0-1,J10_B001190,"CD8-positive, alpha-beta T cell",24_58_M
J11_B001190_S263.mus-7-0-1,J11_B001190,B cell,24_58_M
J12_B001190_S264.mus-7-0-1,J12_B001190,B cell,24_58_M
J13_B001190_S265.mus-7-0-1,J13_B001190,B cell,24_58_M
J14_B001190_S266.mus-7-0-1,J14_B001190,"CD4-positive, alpha-beta T cell",24_58_M
J15_B001190_S267.mus-7-0-1,J15_B001190,myeloid cell,24_58_M
J16_B001190_S268.mus-7-0-1,J16_B001190,B cell,24_58_M
J18_B001190_S270.mus-7-0-1,J18_B001190,endothelial cell,24_58_M
J19_B001190_S271.mus-7-0-1,J19_B001190,epithelial cell,24_58_M
J20_B001190_S272.mus-7-0-1,J20_B001190,endothelial cell,24_58_M
J2_B001190_S254.mus-7-0-1,J2_B001190,mesenchymal stem cell of adipose,24_58_M
J3_B001190_S255.mus-7-0-1,J3_B001190,mesenchymal stem cell of adipose,24_58_M
J5_B001190_S257.mus-7-0-1,J5_B001190,mesenchymal stem cell of adipose,24_58_M
J6_B001190_S258.mus-7-0-1,J6_B001190,mesenchymal stem cell of adipose,24_58_M
J7_B001190_S259.mus-7-0-1,J7_B001190,mesenchymal stem cell of adipose,24_58_M
J8_B001190_S260.mus-7-0-1,J8_B001190,mesenchymal stem cell of adipose,24_58_M
J9_B001190_S261.mus-7-0-1,J9_B001190,B cell,24_58_M
K10_B001190_S286.mus-7-0-1,K10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
K11_B001190_S287.mus-7-0-1,K11_B001190,B cell,24_58_M
K12_B001190_S288.mus-7-0-1,K12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
K13_B001190_S289.mus-7-0-1,K13_B001190,"CD8-positive, alpha-beta T cell",24_58_M
K14_B001190_S290.mus-7-0-1,K14_B001190,macrophage,24_58_M
K15_B001190_S291.mus-7-0-1,K15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
K16_B001190_S292.mus-7-0-1,K16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
K1_B001190_S277.mus-7-0-1,K1_B001190,mesenchymal stem cell of adipose,24_58_M
K21_B001190_S297.mus-7-0-1,K21_B001190,mesenchymal stem cell of adipose,24_58_M
K2_B001190_S278.mus-7-0-1,K2_B001190,mesenchymal stem cell of adipose,24_58_M
K3_B001190_S279.mus-7-0-1,K3_B001190,mesenchymal stem cell of adipose,24_58_M
K4_B001190_S280.mus-7-0-1,K4_B001190,mesenchymal stem cell of adipose,24_58_M
K5_B001190_S281.mus-7-0-1,K5_B001190,mesenchymal stem cell of adipose,24_58_M
K6_B001190_S282.mus-7-0-1,K6_B001190,mesenchymal stem cell of adipose,24_58_M
K7_B001190_S283.mus-7-0-1,K7_B001190,mesenchymal stem cell of adipose,24_58_M
K9_B001190_S285.mus-7-0-1,K9_B001190,myeloid cell,24_58_M
L10_B001190_S10.mus-7-0-1,L10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
L11_B001190_S11.mus-7-0-1,L11_B001190,B cell,24_58_M
L12_B001190_S12.mus-7-0-1,L12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
L13_B001190_S13.mus-7-0-1,L13_B001190,macrophage,24_58_M
L14_B001190_S14.mus-7-0-1,L14_B001190,"CD8-positive, alpha-beta T cell",24_58_M
L15_B001190_S15.mus-7-0-1,L15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
L16_B001190_S16.mus-7-0-1,L16_B001190,NK cell,24_58_M
L17_B001190_S17.mus-7-0-1,L17_B001190,mesenchymal stem cell of adipose,24_58_M
L18_B001190_S18.mus-7-0-1,L18_B001190,epithelial cell,24_58_M
L19_B001190_S19.mus-7-0-1,L19_B001190,endothelial cell,24_58_M
L1_B001190_S1.mus-7-0-1,L1_B001190,mesenchymal stem cell of adipose,24_58_M
L20_B001190_S20.mus-7-0-1,L20_B001190,endothelial cell,24_58_M
L2_B001190_S2.mus-7-0-1,L2_B001190,mesenchymal stem cell of adipose,24_58_M
L3_B001190_S3.mus-7-0-1,L3_B001190,mesenchymal stem cell of adipose,24_58_M
L4_B001190_S4.mus-7-0-1,L4_B001190,mesenchymal stem cell of adipose,24_58_M
L6_B001190_S6.mus-7-0-1,L6_B001190,mesenchymal stem cell of adipose,24_58_M
L8_B001190_S8.mus-7-0-1,L8_B001190,mesenchymal stem cell of adipose,24_58_M
L9_B001190_S9.mus-7-0-1,L9_B001190,B cell,24_58_M
M10_B001190_S34.mus-7-0-1,M10_B001190,B cell,24_58_M
M11_B001190_S35.mus-7-0-1,M11_B001190,B cell,24_58_M
M12_B001190_S36.mus-7-0-1,M12_B001190,macrophage,24_58_M
M13_B001190_S37.mus-7-0-1,M13_B001190,B cell,24_58_M
M14_B001190_S38.mus-7-0-1,M14_B001190,myeloid cell,24_58_M
M15_B001190_S39.mus-7-0-1,M15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
M16_B001190_S40.mus-7-0-1,M16_B001190,B cell,24_58_M
M18_B001190_S42.mus-7-0-1,M18_B001190,endothelial cell,24_58_M
M1_B001190_S25.mus-7-0-1,M1_B001190,mesenchymal stem cell of adipose,24_58_M
M21_B001190_S45.mus-7-0-1,M21_B001190,mesenchymal stem cell of adipose,24_58_M
M2_B001190_S26.mus-7-0-1,M2_B001190,mesenchymal stem cell of adipose,24_58_M
M3_B001190_S27.mus-7-0-1,M3_B001190,mesenchymal stem cell of adipose,24_58_M
M4_B001190_S28.mus-7-0-1,M4_B001190,mesenchymal stem cell of adipose,24_58_M
M5_B001190_S29.mus-7-0-1,M5_B001190,endothelial cell,24_58_M
M6_B001190_S30.mus-7-0-1,M6_B001190,mesenchymal stem cell of adipose,24_58_M
M7_B001190_S31.mus-7-0-1,M7_B001190,mesenchymal stem cell of adipose,24_58_M
M8_B001190_S32.mus-7-0-1,M8_B001190,mesenchymal stem cell of adipose,24_58_M
M9_B001190_S33.mus-7-0-1,M9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
N10_B001190_S58.mus-7-0-1,N10_B001190,B cell,24_58_M
N11_B001190_S59.mus-7-0-1,N11_B001190,B cell,24_58_M
N12_B001190_S60.mus-7-0-1,N12_B001190,"CD4-positive, alpha-beta T cell",24_58_M
N13_B001190_S61.mus-7-0-1,N13_B001190,B cell,24_58_M
N14_B001190_S62.mus-7-0-1,N14_B001190,B cell,24_58_M
N16_B001190_S64.mus-7-0-1,N16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
N2_B001190_S50.mus-7-0-1,N2_B001190,mesenchymal stem cell of adipose,24_58_M
N4_B001190_S52.mus-7-0-1,N4_B001190,mesenchymal stem cell of adipose,24_58_M
N5_B001190_S53.mus-7-0-1,N5_B001190,mesenchymal stem cell of adipose,24_58_M
N6_B001190_S54.mus-7-0-1,N6_B001190,mesenchymal stem cell of adipose,24_58_M
N9_B001190_S57.mus-7-0-1,N9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O10_B001190_S82.mus-7-0-1,O10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O11_B001190_S83.mus-7-0-1,O11_B001190,B cell,24_58_M
O12_B001190_S84.mus-7-0-1,O12_B001190,B cell,24_58_M
O14_B001190_S86.mus-7-0-1,O14_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O15_B001190_S87.mus-7-0-1,O15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O16_B001190_S88.mus-7-0-1,O16_B001190,macrophage,24_58_M
O1_B001190_S73.mus-7-0-1,O1_B001190,mesenchymal stem cell of adipose,24_58_M
O22_B001190_S94.mus-7-0-1,O22_B001190,endothelial cell,24_58_M
O2_B001190_S74.mus-7-0-1,O2_B001190,mesenchymal stem cell of adipose,24_58_M
O3_B001190_S75.mus-7-0-1,O3_B001190,mesenchymal stem cell of adipose,24_58_M
O4_B001190_S76.mus-7-0-1,O4_B001190,mesenchymal stem cell of adipose,24_58_M
O5_B001190_S77.mus-7-0-1,O5_B001190,mesenchymal stem cell of adipose,24_58_M
O6_B001190_S78.mus-7-0-1,O6_B001190,mesenchymal stem cell of adipose,24_58_M
O7_B001190_S79.mus-7-0-1,O7_B001190,mesenchymal stem cell of adipose,24_58_M
O9_B001190_S81.mus-7-0-1,O9_B001190,B cell,24_58_M
P10_B001190_S106.mus-7-0-1,P10_B001190,macrophage,24_58_M
P11_B001190_S107.mus-7-0-1,P11_B001190,"CD8-positive, alpha-beta T cell",24_58_M
P12_B001190_S108.mus-7-0-1,P12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
P13_B001190_S109.mus-7-0-1,P13_B001190,B cell,24_58_M
P14_B001190_S110.mus-7-0-1,P14_B001190,T cell,24_58_M
P15_B001190_S111.mus-7-0-1,P15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
P16_B001190_S112.mus-7-0-1,P16_B001190,"CD4-positive, alpha-beta T cell",24_58_M
P1_B001190_S97.mus-7-0-1,P1_B001190,mesenchymal stem cell of adipose,24_58_M
P21_B001190_S117.mus-7-0-1,P21_B001190,mesenchymal stem cell of adipose,24_58_M
P22_B001190_S118.mus-7-0-1,P22_B001190,endothelial cell,24_58_M
P2_B001190_S98.mus-7-0-1,P2_B001190,mesenchymal stem cell of adipose,24_58_M
P3_B001190_S99.mus-7-0-1,P3_B001190,mesenchymal stem cell of adipose,24_58_M
P5_B001190_S101.mus-7-0-1,P5_B001190,mesenchymal stem cell of adipose,24_58_M
P6_B001190_S102.mus-7-0-1,P6_B001190,mesenchymal stem cell of adipose,24_58_M
P7_B001190_S103.mus-7-0-1,P7_B001190,mesenchymal stem cell of adipose,24_58_M
P8_B001190_S104.mus-7-0-1,P8_B001190,mesenchymal stem cell of adipose,24_58_M
P9_B001190_S105.mus-7-0-1,P9_B001190,NK cell,24_58_M
A1.B002314.3_56_F.1.1-1-1,A1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
A1.MAA000531.3_8_M.1.1-1-1,A1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
A1.MAA000877.3_11_M.1.1-1-1,A1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
A10.B002314.3_56_F.1.1-1-1,A10.B002314.3_56_F.1.1,macrophage,3_56_F
A10.D045064.3_38_F.1.1-1-1,A10.D045064.3_38_F.1.1,macrophage,3_38_F
A10.MAA000877.3_11_M.1.1-1-1,A10.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
A10.MAA000914.3_9_M.1.1-1-1,A10.MAA000914.3_9_M.1.1,macrophage,3_9_M
A11.B002314.3_56_F.1.1-1-1,A11.B002314.3_56_F.1.1,macrophage,3_56_F
A11.D045064.3_38_F.1.1-1-1,A11.D045064.3_38_F.1.1,macrophage,3_38_F
A11.MAA000877.3_11_M.1.1-1-1,A11.MAA000877.3_11_M.1.1,B cell,3_11_M
A11.MAA000914.3_9_M.1.1-1-1,A11.MAA000914.3_9_M.1.1,"CD8-positive, alpha-beta T cell",3_9_M
A12.B002314.3_56_F.1.1-1-1,A12.B002314.3_56_F.1.1,NK cell,3_56_F
A12.MAA000877.3_11_M.1.1-1-1,A12.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
A13.B002314.3_56_F.1.1-1-1,A13.B002314.3_56_F.1.1,myeloid cell,3_56_F
A13.D043520.3_39_F.1.1-1-1,A13.D043520.3_39_F.1.1,myeloid cell,3_39_F
A13.D045064.3_38_F.1.1-1-1,A13.D045064.3_38_F.1.1,T cell,3_38_F
A13.MAA000877.3_11_M.1.1-1-1,A13.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
A14.B002314.3_56_F.1.1-1-1,A14.B002314.3_56_F.1.1,B cell,3_56_F
A14.D043520.3_39_F.1.1-1-1,A14.D043520.3_39_F.1.1,myeloid cell,3_39_F
A14.D045064.3_38_F.1.1-1-1,A14.D045064.3_38_F.1.1,NK cell,3_38_F
A14.MAA000877.3_11_M.1.1-1-1,A14.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
A15.D043520.3_39_F.1.1-1-1,A15.D043520.3_39_F.1.1,macrophage,3_39_F
A15.MAA000531.3_8_M.1.1-1-1,A15.MAA000531.3_8_M.1.1,T cell,3_8_M
A15.MAA000877.3_11_M.1.1-1-1,A15.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
A16.B002314.3_56_F.1.1-1-1,A16.B002314.3_56_F.1.1,B cell,3_56_F
A16.D043520.3_39_F.1.1-1-1,A16.D043520.3_39_F.1.1,macrophage,3_39_F
A17.MAA000877.3_11_M.1.1-1-1,A17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
A18.D045064.3_38_F.1.1-1-1,A18.D045064.3_38_F.1.1,endothelial cell,3_38_F
A19.B002314.3_56_F.1.1-1-1,A19.B002314.3_56_F.1.1,endothelial cell,3_56_F
